<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;60;03/01/23;110000;163.5000000
GAZP;60;03/01/23;120000;164.0700000
GAZP;60;03/01/23;130000;163.7800000
GAZP;60;03/01/23;140000;163.4300000
GAZP;60;03/01/23;150000;163.3300000
GAZP;60;03/01/23;160000;163.3700000
GAZP;60;03/01/23;170000;163.5800000
GAZP;60;03/01/23;180000;163.8400000
GAZP;60;03/01/23;190000;163.7900000
GAZP;60;03/01/23;200000;163.6500000
GAZP;60;03/01/23;210000;163.6000000
GAZP;60;03/01/23;220000;163.3400000
GAZP;60;03/01/23;230000;163.5700000
GAZP;60;04/01/23;000000;163.5200000
GAZP;60;04/01/23;110000;163.3200000
GAZP;60;04/01/23;120000;163.0500000
GAZP;60;04/01/23;130000;162.2700000
GAZP;60;04/01/23;140000;162.1700000
GAZP;60;04/01/23;150000;162.4000000
GAZP;60;04/01/23;160000;162.1400000
GAZP;60;04/01/23;170000;162.1600000
GAZP;60;04/01/23;180000;162.6400000
GAZP;60;04/01/23;190000;162.7600000
GAZP;60;04/01/23;200000;162.8900000
GAZP;60;04/01/23;210000;162.7300000
GAZP;60;04/01/23;220000;162.7100000
GAZP;60;04/01/23;230000;162.5700000
GAZP;60;05/01/23;000000;162.5100000
GAZP;60;05/01/23;110000;161.4900000
GAZP;60;05/01/23;120000;161.2700000
GAZP;60;05/01/23;130000;161.2300000
GAZP;60;05/01/23;140000;161.2200000
GAZP;60;05/01/23;150000;161.3800000
GAZP;60;05/01/23;160000;161.5400000
GAZP;60;05/01/23;170000;161.3200000
GAZP;60;05/01/23;180000;161.4800000
GAZP;60;05/01/23;190000;161.2500000
GAZP;60;05/01/23;200000;161.3500000
GAZP;60;05/01/23;210000;161.1400000
GAZP;60;05/01/23;220000;161.3600000
GAZP;60;05/01/23;230000;161.2600000
GAZP;60;06/01/23;000000;161.2000000
GAZP;60;06/01/23;110000;161.3900000
GAZP;60;06/01/23;120000;161.6900000
GAZP;60;06/01/23;130000;161.6900000
GAZP;60;06/01/23;140000;161.6800000
GAZP;60;06/01/23;150000;162.5500000
GAZP;60;06/01/23;160000;162.2000000
GAZP;60;06/01/23;170000;162.3500000
GAZP;60;06/01/23;180000;162.3900000
GAZP;60;06/01/23;190000;162.0000000
GAZP;60;06/01/23;200000;161.5600000
GAZP;60;06/01/23;210000;161.8700000
GAZP;60;06/01/23;220000;161.8800000
GAZP;60;06/01/23;230000;161.9000000
GAZP;60;07/01/23;000000;162.1000000
GAZP;60;09/01/23;110000;162.3200000
GAZP;60;09/01/23;120000;162.3000000
GAZP;60;09/01/23;130000;162.0600000
GAZP;60;09/01/23;140000;162.3000000
GAZP;60;09/01/23;150000;162.7000000
GAZP;60;09/01/23;160000;162.6300000
GAZP;60;09/01/23;170000;162.7600000
GAZP;60;09/01/23;180000;162.9700000
GAZP;60;09/01/23;190000;163.4400000
GAZP;60;09/01/23;200000;163.1500000
GAZP;60;09/01/23;210000;163.1000000
GAZP;60;09/01/23;220000;162.6600000
GAZP;60;09/01/23;230000;162.7600000
GAZP;60;10/01/23;000000;162.7100000
GAZP;60;10/01/23;110000;161.9400000
GAZP;60;10/01/23;120000;161.6700000
GAZP;60;10/01/23;130000;161.5800000
GAZP;60;10/01/23;140000;161.9400000
GAZP;60;10/01/23;150000;161.9600000
GAZP;60;10/01/23;160000;161.8600000
GAZP;60;10/01/23;170000;162.2900000
GAZP;60;10/01/23;180000;162.5400000
GAZP;60;10/01/23;190000;162.6000000
GAZP;60;10/01/23;200000;162.2200000
GAZP;60;10/01/23;210000;162.1600000
