<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
SBER;60;03/01/23;110000;142.6600000;6534850
SBER;60;03/01/23;120000;142.4200000;2986330
SBER;60;03/01/23;130000;141.9100000;2385180
SBER;60;03/01/23;140000;141.6700000;1940080
SBER;60;03/01/23;150000;141.7400000;1360060
SBER;60;03/01/23;160000;141.9600000;841310
SBER;60;03/01/23;170000;141.6900000;1112540
SBER;60;03/01/23;180000;141.8000000;696600
SBER;60;03/01/23;190000;141.6500000;804320
SBER;60;03/01/23;200000;141.6800000;440520
SBER;60;03/01/23;210000;141.8700000;767050
SBER;60;03/01/23;220000;141.9300000;200850
SBER;60;03/01/23;230000;141.7900000;403140
SBER;60;04/01/23;000000;141.7800000;554280
SBER;60;04/01/23;110000;141.6500000;4534060
SBER;60;04/01/23;120000;141.4100000;1812220
SBER;60;04/01/23;130000;140.9500000;3438890
SBER;60;04/01/23;140000;141.1400000;1492100
SBER;60;04/01/23;150000;141.1900000;488960
SBER;60;04/01/23;160000;140.9300000;1135040
SBER;60;04/01/23;170000;141.1200000;571270
SBER;60;04/01/23;180000;141.2400000;949940
SBER;60;04/01/23;190000;141.3000000;552880
SBER;60;04/01/23;200000;141.3900000;575830
SBER;60;04/01/23;210000;141.4000000;413970
SBER;60;04/01/23;220000;141.4000000;365100
SBER;60;04/01/23;230000;141.5000000;437580
SBER;60;05/01/23;000000;141.4300000;326410
SBER;60;05/01/23;110000;140.9900000;2841470
SBER;60;05/01/23;120000;141.1100000;2504390
SBER;60;05/01/23;130000;141.0000000;1182180
SBER;60;05/01/23;140000;141.1700000;1013840
SBER;60;05/01/23;150000;141.0600000;608620
SBER;60;05/01/23;160000;141.3200000;1056200
SBER;60;05/01/23;170000;141.0900000;611890
SBER;60;05/01/23;180000;141.0500000;997400
SBER;60;05/01/23;190000;141.3100000;4135240
SBER;60;05/01/23;200000;141.2300000;854150
SBER;60;05/01/23;210000;141.2500000;413810
SBER;60;05/01/23;220000;141.2600000;244980
SBER;60;05/01/23;230000;141.4700000;429470
SBER;60;06/01/23;000000;141.2700000;342690
SBER;60;06/01/23;110000;141.3500000;2233150
SBER;60;06/01/23;120000;141.3500000;628950
SBER;60;06/01/23;130000;141.1500000;1123710
SBER;60;06/01/23;140000;141.0600000;1276880
SBER;60;06/01/23;150000;141.2900000;884900
SBER;60;06/01/23;160000;141.1500000;516330
SBER;60;06/01/23;170000;140.9900000;661540
SBER;60;06/01/23;180000;141.1000000;840920
SBER;60;06/01/23;190000;141.1400000;787030
SBER;60;06/01/23;200000;141.1500000;448030
SBER;60;06/01/23;210000;141.2100000;157070
SBER;60;06/01/23;220000;141.2800000;277120
SBER;60;06/01/23;230000;141.2600000;323500
SBER;60;07/01/23;000000;141.4000000;488250
SBER;60;09/01/23;110000;142.8700000;10218630
SBER;60;09/01/23;120000;142.3200000;4170130
SBER;60;09/01/23;130000;142.5900000;2756740
SBER;60;09/01/23;140000;142.6800000;1281500
SBER;60;09/01/23;150000;142.7400000;2002280
SBER;60;09/01/23;160000;142.0000000;3828520
SBER;60;09/01/23;170000;142.3300000;2480260
SBER;60;09/01/23;180000;142.4300000;1012610
SBER;60;09/01/23;190000;142.4300000;1251640
SBER;60;09/01/23;200000;142.3300000;984080
SBER;60;09/01/23;210000;142.2500000;323120
SBER;60;09/01/23;220000;142.3700000;459400
SBER;60;09/01/23;230000;142.3900000;244510
SBER;60;10/01/23;000000;142.4000000;301480
